email,fname,lname,country,address1,address2,city,stateregion,zipcode,phonenum,cardname,cardtype,cardnumber,cardcvv,expiresmonth,expiresyear,errormessage,ids
,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Email Address is mandatory.,,CC-checkoutRegistration-email-error
Test@Test.com,,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,First Name is mandatory.,,CC-checkoutAddressBook-sfirstname-error
Test@Test.com,Test,,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Last Name is mandatory.,,CC-checkoutAddressBook-slastname-error
Test@Test.com,skufdhjszfbzdsbfzdsbfjhzdbfbskjdfbkjsdfbkjsdbfjdsbfjsdbfjdsbfjsdbfjdsbfjhsfbjDfhjFbsjdfbjzdfjhdfbjhfb,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 60 characters.,,CC-checkoutAddressBook-sfirstname-error
Test@Test.com,Test,skufdhjszfbzdsbfzdsbfjhzdbfbskjdfbkjsdfbkjsdbfjdsbfjsdbfjdsbfjsdbfjdsbfjhsfbjDfhjFbsjdfbjzdfjhdfbjhfb,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 60 characters.,,CC-checkoutAddressBook-slastname-error
Test@Test.com,Test,Data,United States,skufdhjszfbzdsbfzdsbfjhzdbfbskjdfbkjsdfbkjsdbfjdsbfjsdbfjdsbfjsdbfjdsbfjhsfbjDfhjFbsjdfbjzdfjhdfbjhfb,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 60 characters.,,CC-checkoutAddressBook-saddress1-error
Test@Test.com,Test,Data,United States,851 E USA CIR,STE 102,,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,City is mandatory.,,CC-checkoutAddressBook-scity-error
Test@Test.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Zip/Postal Code is mandatory.,,CC-checkoutAddressBook-szipcode-error
Test@Test.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,000009,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please enter a valid zip/postal code.,,CC-checkoutAddressBook-szipcode-error
Test@Test.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,000009000980980980980,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 10 characters.,,CC-checkoutAddressBook-szipcode-error
Test@Test.com,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300150359016509312953219521309501325123750132,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 15 characters.,,CC-checkoutAddressBook-sphone-error
