email,rfname,rlname,pass,cpass,fname,lname,country,address1,address2,city,stateregion,zipcode,phonenum,bfname,blname,bcontry,baddress1,baddress2,bcity,bstateregion,bzipcode,bphone,cardname,cardtype,cardnumber,cardcvv,expiresmonth,expiresyear,errormessage,ids
Test@test.com,,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,First Name is mandatory.,,CC-checkoutRegistration-firstName-error
Test@test.com,Test,,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Last Name is mandatory.,,CC-checkoutRegistration-lastName-error
Test@test.com,fhdskfhadskhfkdashfkadshfhsadkfhsadkhfsadhfsadhfsdhfhsadfhasd,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,First Name is mandatory.,,CC-checkoutRegistration-firstName-error
Test@test.com,Test,ehrfwqehrkeqwrkwerhewkrhhweqhrkewhrkweqhrkhqewkrhqewkrhqw,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Last Name is mandatory.,,CC-checkoutRegistration-lastName-error
Test@test.com,Test,Date,,test@123,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Password is mandatory.,,CC-checkoutRegistration-password-error
Test@test.com,Test,Date,test@123,,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Please enter your password again.,,CC-checkoutRegistration-confirm-password-error
Test@test.com,Test,,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Last Name is mandatory.,,CC-checkoutRegistration-lastName-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,First Name is mandatory.,,CC-checkoutAddressBook-bfirstname-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Dataddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddds,9073528300,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 60 characters.,,CC-checkoutAddressBook-bfirstname-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,test,,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Last Name is mandatory.,,CC-checkoutAddressBook-blastname-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Data,fdhfkdashfksadhfkjhsadkfhsadfhsdakhfkadshfkjdashfkjadshfkhadsfhadskfhadsfhadsklhfadsflkadsflsadflkasdfadslfgas,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 60 characters.,,CC-checkoutAddressBook-blastname-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,test,Data,United States,,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Address Line 1 is mandatory.,,CC-checkoutAddressBook-baddress1-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,skufdhjszfbzdsbfzdsbfjhzdbfbskjdfbkjsdfbkjsdbfjdsbfjsdbfjdsbfjsdbfjdsbfjhsfbjDfhjFbsjdfbjzdfjhdfbjhfb,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 60 characters.,,CC-checkoutAddressBook-baddress1-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,City is mandatory.,,CC-checkoutAddressBook-bcity-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,dkjfasdkjfsdkfadskfhadshfkadshfkadshfkhadskfhasdkhfadsk,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 50 characters.,,CC-checkoutAddressBook-bcity-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Zip/Postal Code is mandatory.,,CC-checkoutAddressBook-bzipcode-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,9,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please enter a valid zip/postal code.,,CC-checkoutAddressBook-bzipcode-error
Test@test.com,Test,Data,test@123,test@123,test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,932413243214321,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 10 characters.,,CC-checkoutAddressBook-bzipcode-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Country is mandatory.,,CC-checkoutAddressBook-bcountry-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,,Test,Visa,4205260000000005,123,02 - February,2019,This field is required.,,//fieldset[@id='billingAddress']/div[9]/div[2]/p
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300341312412341324123412341321323,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 15 characters.,,//fieldset[@id='billingAddress']/div[9]/div[2]/p
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,Wasilla,Alaska,99654,dasfadsfadsfasdfads,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please enter a valid telephone number.,,//fieldset[@id='billingAddress']/div[9]/div[2]/p
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Visa,6513241324248,123,02 - February,2019,Invalid card number, please try again.,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Mastercard,241324248,123,02 - February,2019,Invalid card number, please try again.,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,American Express,241324248,123,02 - February,2019,Invalid card number, please try again.,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,241324248,123,02 - February,2019,Invalid card number, please try again.,CC-checkoutPaymentDetails-cardNumber-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Visa,4001270000000000,4,02 - February,2019,Invalid entry. Please enter a minimum of 3 characters.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Mastercard,5405010100000016,4,02 - February,2019,Invalid entry. Please enter a minimum of 3 characters.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,American Express,341111597241002,4,02 - February,2019,Invalid entry. Please enter a minimum of 3 characters.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,6510000000001248,4,02 - February,2019,Invalid entry. Please enter a minimum of 3 characters.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Visa,4001270000000000,43444,02 - February,2019,Invalid entry. Please do not exceed the maximum of 4 permitted characters.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Mastercard,5405010100000016,44444,02 - February,2019,Invalid entry. Please do not exceed the maximum of 4 permitted characters.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,American Express,341111597241002,44444,02 - February,2019,Invalid entry. Please do not exceed the maximum of 4 permitted characters.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Data,Discover,6510000000001248,44444,02 - February,2019,Invalid entry. Please do not exceed the maximum of 4 permitted characters.,,CC-checkoutPaymentDetails-cardCVV-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,DataFJJGKJGJGJGJGKJKJKFKFdsfdsafdsafsadf,Visa,4001270000000000,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Datadfadsfadsfsadfsadfadsfadsfsdsdfsadfa,Mastercard,5405010100000016,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Dataadfasdfasdfasddsfsadfsadfasdfasdfasd,American Express,341111597241002,1234,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Datadsafadsfasdfadsfasdfasddsfdsfdsafasd,Discover,6510000000001248,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,!@#$%^&*(*&^%$#@!@#$%^&*(*&^%$#@#$%^&***,Visa,4001270000000000,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,!@#$%^&*(*&^%$#@!@#$%^&*(*&^%$#@#$%^&***,Mastercard,5405010100000016,123,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
Test@test.com,Test,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,!@#$%^&*(*&^%$#@!@#$%^&*(*&^%$#@#$%^&***,American Express,341111597241002,1234,02 - February,2019,Name on Card is mandatory.,,CC-checkoutPaymentDetails-nameOnCard-error
