email,rfname,rlname,pass,cpass,fname,lname,country,address1,address2,city,stateregion,zipcode,phonenum,cardname,cardtype,cardnumber,cardcvv,expiresmonth,expiresyear,errormessage,ids
Test@test.com,,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,First Name is mandatory.,,CC-checkoutRegistration-firstName-error
Test@test.com,ASDLADLADLALdsafsadlfsadlfladsfladsfdfsadkfadskfhadshfkadssdhfkadshsadfljads,Data,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 60 characters.,,CC-checkoutRegistration-firstName-error
Test@test.com,Test,,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Last Name is mandatory.,,CC-checkoutRegistration-lastName-error
Test@test.com,Test,SLDANSDNASNADfadsfkadsfadsfsad;fadslfjsadlfjsladjfladsjf;sadjfdsjf;ljadslfjads,test@123,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Last Name is mandatory.,,CC-checkoutRegistration-lastName-error
Test@test.com,Test,Date,,test@123,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Password is mandatory.,,CC-checkoutRegistration-password-error
Test@test.com,Test,Date,test@123,,Test,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Please enter your password again.,,CC-checkoutRegistration-confirm-password-error
,Test,Data,test@123,test@123,Test,123,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Email Address is mandatory.,,CC-checkoutRegistration-email-error
Test@test.com,Test,Data,test@123,test@123,,123,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,First Name is mandatory.,CC-checkoutAddressBook-sfirstname-error
Test@test.com,Test,Data,test@123,test@123,test,,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Last Name is mandatory.,,CC-checkoutAddressBook-slastname-error
Test@test.com,Test,Data,test@123,test@123,skufdhjszfbzdsbfzdsbfjhzdbfbskjdfbkjsdfbkjsdbfjdsbfjsdbfjdsbfjsdbfjdsbfjhsfbjDfhjFbsjdfbjzdfjhdfbjhfb,Data,United States,851 E USA CIR,STE 102,WASILLA,Alaska,99654,9073528300,Test,Visa,4205260000000005,123,02 - February,2019,Invalid entry. Please do not exceed the maximum of 60 characters.,,CC-checkoutAddressBook-sfirstname-error
